"MEASURE - Percentage of Gross Domestic Product"
"FLOW - Sum of imports and exports"
"SERIES - Total trade in goods and services"

YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"          Bahrain",191.9677553985,204.8757386415,182.6277674702,151.1955423421,160.959136707,158.4749417849,145.8334575389,164.7055802085,147.9772012795,156.6732054272,165.3376334372,160.4245365293,158.3752778692,144.1547592293,133.4383870525,131.436283458,141.9622711135,128.9037076434,113.5784316844,123.8452179785,135.8074280855,127.0150785471,131.1286414722,128.0891427639,140.7363902521,148.3137741583,147.1017281739,137.7851504415,145.8826697466,117.9639009956,120.4658814441,126.8085030712,123.7488085977,123.7858499053
"          Bangladesh",20.347245987,20.3806360918,20.9435284427,18.4298350029,18.9944352356,18.5114773673,17.0979415588,16.4601180992,17.5676258659,18.6385958298,18.9842154105,17.3693099171,19.4269315301,21.4469131531,23.4351992863,28.1483231952,26.8827956995,28.7792896407,28.7115647224,30.0507948838,32.933368262,32.1879649528,30.3193867291,33.0491041023,35.3779270827,38.8677338213,43.6267097794,43.4907467681,47.5509312086,39.9504803937,45.4800861338,53.4857430941,51.36997839,49.4256014898
"          Barbados",116.8149480774,109.1688328681,109.958047292,113.1466693877,116.089428317,107.2227672016,94.9128703037,79.5599506943,81.8800871055,85.90062138419999,86.6826768339,83.11085605930001,76.6844685243,81.2329878764,86.3525776549,93.433799642,95.0052358188,97.48062987190001,89.79434178930001,88.8978183326,90.67890974229999,87.50671791230001,85.3886802145,90.0441362305,92.3358086163,102.0034287761,105.0352904732,102.4807503569,112.3600847204,90.08718001210001,101.5116251678,101.3487198108,91.1853208496,89.514826066
"          Belarus","_","_","_","_","_","_","_","_","_","_","_","_","-",28.5153745828,39.3560633969,79.61125687240001,96.3597506207,117.23891892,99.946523765,107.5498044783,150.9724758589,141.3092201803,130.8159235649,133.5984040947,142.053746667,119.2356520945,124.4595250811,128.2143628729,129.5981801771,112.1016328609,121.665239619,159.8239478025,161.3493166324,125.5620434888
"          Belgium",115.5383228238,124.7488501707,131.541703176,134.7207197333,140.9868499077,139.1771279876,127.6175108963,128.7272607822,132.2969040531,138.7739810651,134.9419923,131.4541943384,127.0359450239,121.7163399469,130.4724059843,138.057944097,146.5449461095,160.4045963177,165.1678950393,169.9779046629,197.3154601721,200.1974573042,147.7524467821,143.4966611534,147.2911595781,154.7375879511,157.5957315505,160.9462442506,166.780441905,142.8994753655,156.4230428889,168.6825053246,171.8508325731,172.071176177
"          Belize","-","-","-","-",130.061640588,128.8718929254,124.5502413339,119.9638336347,129.7078437599,127.0136307311,121.5809594278,124.9508840864,130.1923076923,117.912079626,108.1799004074,106.184014252,98.23795415559999,107.8537591687,104.0088546959,121.6998702806,124.4521413916,118.5525515156,119.27518835,120.2540609003,110.7422600367,120.4446997972,127.6511998121,126.5966743489,133.204926971,112.8532940815,117.2606195128,126.7864552025,132.5245710748,135.0073484556
"          Benin",47.0880022481,86.48878609400001,65.5812388702,51.2347036412,63.4369585512,73.92846798620001,67.5193002378,67.8303482868,47.0727540213,43.8038604089,44.3285342546,72.83004714000001,59.0608375071,59.646438582,78.0111114044,69.54718439929999,59.3899057931,56.8368851131,53.7910037529,58.2103100497,52.3999539405,50.6362381142,52.9878398697,50.2027743403,47.2332120065,43.9832943046,49.9562659331,62.6071219403,60.7508891986,55.8757354146,60.2010937127,54.3401942751,59.0567338167,"-"
"          Bermuda","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",66.00484833900001,66.9762202252,62.313010375,58.6240474768,59.3566465642,59.8442897491,58.9392940069,60.1429326165
"          Bhutan","-",65.9222554265,85.94434623310001,80.9624550186,91.22945169410001,82.9833446203,83.38062075489999,79.1313805671,79.3584871412,100.8204395372,79.6052509914,88.3148843677,83.5523180041,114.7843191793,82.4956932907,72.4228730263,75.1536184176,72.5393363565,79.2903333271,75.3909303099,79.0098425681,70.2048791732,68.6385058939,68.5900203108,74.57454243319999,97.3376651911,100.7384881885,101.7696112954,112.6892239064,99.3426385345,96.2322618657,111.3695217151,104.1478823024,71.242578741
"          Bolivia (Plurinational State of)",53.2047734835,55.7001229658,41.5028126436,41.0439676593,36.9373782401,34.8506309874,36.9190582129,36.2971050172,32.9845124011,40.1719728517,42.3803687916,38.0423014017,37.6479413706,40.6350369666,42.364767628,41.8114450054,41.1568372295,43.859521203,41.8382165988,39.8222634474,42.2472119594,42.991322822,45.883471174,49.6179600621,55.7821776618,64.3522952845,68.1970314973,69.3652620546,76.809417247,61.0835213223,66.1524383877,74.82599052250001,80.97128091819999,79.7025177008
"          Bonaire, Sint Eustatius and Saba","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","-","-"
"          Bosnia and Herzegovina","_","_","_","_","_","_","_","_","_","_","_","_","-","-","-","-","-","-",122.3080440539,121.820484298,103.3087267531,103.3173492717,94.9653571862,96.70582983120001,98.8601639379,104.4469018934,101.293945326,105.4934733339,106.4526573306,86.41094369610001,94.27586204790001,102.4503400878,97.1530750405,97.60052403989999
"          Botswana",171.7218240978,143.3996541462,155.1925198274,170.3331520329,160.702877743,170.5098847581,153.3056351961,176.3324897265,156.8768200221,110.6942379939,107.2679176,105.1738785484,94.6094961997,90.4929125486,87.73127358319999,94.49607432969999,86.4698950745,107.4672715314,100.6379210684,98.115005618,91.92371327079999,86.93009656770001,91.7759952935,85.8301634586,90.50247764380001,88.9220145278,86.4365974314,95.1236238927,97.361782382,88.0006252041,81.94958490250001,98.1374911978,103.3151482913,107.5590510888
"          Brazil",26.001334609,23.3953440106,19.5884576693,25.3427264697,26.529464082,23.837645166,18.9041133901,19.2331819145,20.2716350719,16.4286184842,15.754324578,16.8885560649,18.9353382903,19.5066652879,16.1241723488,15.0768970813,14.1153165412,15.4174593212,15.7830816542,20.2077228778,21.2534826684,25.2979571536,26.0181263331,26.6480204662,28.4945949596,26.3384948525,25.4977273237,25.0498049254,27.1320574576,21.9546743797,22.3063481414,24.079701085,26.0325725927,26.9947635852
"          British Virgin Islands","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"          Brunei Darussalam","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",119.3071329871,115.4302422389,117.2443502916,117.0359316615,95.6494715446,111.8136433433,111.1035845193,109.0698267892,101.958369301,98.4009287638,97.41025892330001,96.45818093120001,109.9463230864,109.9793668631,112.4628964889,108.2988824383,"-","-"
"          Bulgaria",160.4781271242,148.6306321587,133.4427782577,136.619216957,138.0228881457,139.329852551,117.3994885786,122.9074108134,96.0649748978,87.61043015280001,72.26179775280001,110.3020104149,120.7507558013,99.4058485038,107.3204793469,101.6007614238,137.2836522635,119.4350465213,91.65311912839999,93.3420520846,113.6822160107,114.5014690008,102.160553184,107.1561922526,121.7558887913,127.5011498,139.8875606222,138.4909594918,136.6226867885,103.3582156786,116.6172094753,132.6542517508,136.5223157208,141.1505827377
"          Burkina Faso",40.7106759241,40.9732284586,43.1228847937,40.3951875571,41.901454889,40.7631151144,38.2536517643,39.7186956688,38.4083331356,32.6706784276,35.3422780553,34.1340738139,28.551963763,29.9739489477,39.4051137198,"-","-","-","-","-",33.979563576,32.1243791982,30.9523768291,30.5544074158,37.4897566352,35.7053429066,36.533523513,36.3688726118,39.9561815037,35.8741362814,49.4381404094,61.5426102042,67.03238278889999,"-"
"          Burundi","-","-","-","-","-",32.0337385743,34.0068928767,35.4328848218,39.2859931279,31.9534350395,36.4087544142,40.0458078133,39.0227212632,39.4816453102,34.6624471858,39.7051109882,22.2909185552,23.5047189656,26.7112542174,22.9909850679,29.3645818032,29.4843460289,30.3011388392,37.8267721462,44.592027126,37.4705128302,42.4147613018,38.776304216,46.3581323708,35.5875888525,37.7778257646,43.6003315341,50.9489217057,"-"
"          Cambodia","-","-","-","-","-","-","-","-","-","-","-","-",34.3073889745,38.5865813551,53.374407075,70.8264689274,59.6854359251,62.3905206316,75.5774011096,94.1653587265,111.5141031955,113.659793333,119.1320471604,122.9770590013,134.4669192986,136.4862725739,145.2181622511,138.7082900955,134.248651267,95.3647344378,106.6605017835,120.5416442258,128.7301138633,134.7354887996
"          Cameroon",49.5621469621,46.7631284635,44.9615711401,43.0337534014,44.5510545894,49.7528178699,49.6648812202,40.801174406,40.2387330795,44.4152587395,42.0632183181,40.3562126895,36.9839110818,29.7144740584,46.8158472577,40.9305180324,50.0837588384,53.5707389744,48.1736408485,42.1882310216,55.6576334731,59.6600832276,55.9113413593,48.1496011899,49.3280762513,51.7235573977,53.0194663831,60.2571059644,66.3141237973,50.2872344561,51.0207295547,59.14512437,59.574474789,"-"
"          Canada",53.130282874,51.9210102094,46.287340449,46.3898389233,52.3704055468,52.8143579893,53.4207248008,51.2635880947,51.6270403082,50.3286364481,50.4462969788,49.7156877128,53.3060108589,58.9746202363,65.2161472916,69.8486627171,70.96789457760001,75.142001296,78.7314541001,80.88069334159999,83.4869439547,79.24113439350001,76.6579584229,70.60135519950001,70.56068524529999,69.8974958914,67.89436728299999,66.4339217388,67.2031499754,58.4055328688,59.8692215446,62.4685422411,61.8436723962,61.87388424
"          Cabo Verde",65.912407987,79.8868312303,87.9937249266,97.494401337,82.2839152963,80.5872505369,64.0684725051,59.5709305321,54.4353875108,61.6694833579,58.7402537833,54.0808143165,59.9875705573,56.0569351168,62.5471727014,67.678604104,65.9992225518,75.13442628280001,71.6819980913,71.5922893987,76.93230366660001,80.80408962910001,87.041195178,86.98571217919999,89.2617472195,90.8780248529,102.178772879,106.5253148301,106.5390414295,97.1386775221,105.5554754133,113.6128156529,103.980744967,91.80221064689999
"          Cayman Islands","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"          Central African Republic",47.5372390738,40.8864378837,45.1958423176,48.6945569031,47.7149330683,52.4521114159,47.059695616,45.6976158771,41.5930426141,44.0950116264,43.7113341389,35.6783014395,35.6055704821,36.8906720026,"-",50.4793468721,47.8182418359,55.2214642987,50.8744589499,43.0427011067,46.2068718032,38.9936525767,37.4692407429,31.5205269663,33.9958457775,33.4858782309,36.1020084763,37.475935528,34.418423743,31.0661790103,35.226752402,34.2209666711,33.2531090665,"-"
"          Chad",13.1590637907,21.311064722,19.9308275335,34.2288886337,41.5187356705,47.7831465626,48.7661428502,49.7854644038,47.3619573609,48.3933261936,47.0700906638,42.6450096482,40.5621248377,44.6446863625,50.9912235904,55.7387832592,46.3784800677,49.366641543,47.9835241743,51.7039794797,51.6030976649,64.2910099904,121.9006583769,85.9189555088,111.8761366209,97.14921783520001,112.9984269949,104.4428186796,99.4881709453,94.1532055413,96.88406122799999,95.18312195910001,99.0731905402,"-"
"          Chile",42.9187067393,36.5671632661,37.3030937191,40.6195468367,41.4474023464,45.3273116096,48.8100324336,50.3171154743,53.7707205863,58.1097798436,56.2224334428,52.3256495288,50.788894394,48.7259564895,48.8869152916,50.7809066166,53.2268589105,52.9076093792,52.6946053879,53.745744322,58.3931106495,62.103141414,62.7649242009,66.14396137990001,68.7269741807,70.4141750022,71.68255958899999,75.63746567360001,81.6135523422,66.62215463859999,69.2500964769,72.0965071394,67.3132344295,64.4105671539
"          China","-","-",14.4012602575,13.9516433574,16.8469050273,22.2975992388,21.9337781513,23.6624714598,23.1918326813,21.8740499216,25.7309008432,28.3400684479,30.5357919998,28.8894243421,39.6034738771,37.3233759653,36.5246534132,37.7296120237,35.4966810993,37.3633646941,44.4528265965,43.3283641641,47.6387226345,56.6029553572,65.0719978745,67.73014892480001,68.54040447360001,67.81445016959999,61.900427805,47.8376564696,54.8840962628,54.3375523736,51.1178503737,49.6086303857
"          China, Hong Kong SAR",180.5649095761,185.7750550924,173.1649527905,191.9043738242,207.2887721762,206.3272989706,211.5802721756,231.3798672225,253.0883375252,251.1312600227,255.0630680892,263.8821793598,272.5788439846,265.4532936993,268.7872369082,292.5844738816,276.2799990307,259.301832406,247.7522093908,248.5951829431,278.8629763891,269.3048084536,286.2754587524,327.0137699545,364.3630054011,376.9701073205,392.1953628815,396.4896403022,407.2164045661,348.1123643585,404.6059600749,421.7803678871,427.801005704,442.7558741145
"          China, Macao SAR",149.94979292,185.5457851014,202.5527976406,208.2398468518,205.3919406937,194.406085139,201.7676032644,196.6429847102,189.338752283,183.5800382465,168.1761980956,160.7741465049,139.4912180079,128.7965789372,124.5545250073,119.7232875436,117.4555700135,119.3327431856,121.7013374125,130.047871629,147.0924108552,151.7367844476,172.4784515012,174.3206626171,172.1509914422,154.9633176906,149.6874161826,157.6933795566,158.0688342639,141.595282487,153.8743879626,163.2434306372,155.7635446102,155.3201290648
"          China, Taiwan Province of",103.9167896786,99.0363886624,92.1762616214,93.640606529,97.29271074899999,92.0871454708,92.9596563787,95.7122779027,101.4630446556,90.30705428749999,85.5812063507,87.35344715540001,82.3467563121,84.2213408856,83.5226193085,91.9086073669,89.7422840537,92.6660605047,93.0966518632,91.7495305738,103.2564005329,94.07831998730001,96.9684628824,104.2135530822,118.7835090313,119.436682003,128.9874554691,135.0202455865,140.7094263737,115.9530003742,139.9636009804,145.3832065241,139.434965483,136.1355263969
"          Colombia",22.8416606016,20.0851127727,20.2502824188,17.5002713833,19.4639151672,19.4739515511,23.3492146655,23.9822265948,23.3423768283,24.0551106195,27.2938682555,26.5222365412,27.7344889772,29.5721037232,25.7456554517,25.6645719436,25.5558183178,25.6155745364,26.2062481198,26.6123226355,30.2428112053,31.4928606133,30.2466739626,34.1843282275,33.5646473062,33.6373582005,36.2338687808,34.5336957831,35.8402396379,32.776382928,31.9620852093,37.1117355588,36.283286013,35.22023317
"          Comoros",38.6367146476,59.2566886869,67.84586494289999,65.25062115679999,74.42345814790001,73.3840420571,60.2710069078,57.0129852748,60.2061265953,55.780113826,50.8465873775,60.4474763432,59.8313430704,57.6856535091,70.0676838519,64.3286859783,"-","-","-","-","-","-",44.1729920495,49.686484902,48.6893549758,50.5081641108,53.5225867654,56.5301886927,62.9770983399,63.2042068735,67.62696077610001,64.37186421440001,66.57321726879999,"-"
"          Congo",119.9735499467,134.1138026622,117.8913692119,120.6640219006,107.4747807177,109.9073469101,105.1757494385,83.8173515443,91.22659142880001,94.1017406077,98.96321959700001,91.3102004572,82.5219542729,93.9088894766,148.3017603345,128.5385646458,128.7007190535,135.9823922855,150.7230155779,131.5841614435,118.6962122993,133.5823912509,134.8225981008,129.7912581212,120.791725773,126.3105350002,139.1899473283,168.2905578858,150.5454127825,134.4922251378,152.0772774828,139.7043005427,146.9526352326,"-"
"          Cook Islands","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"          Costa Rica",46.5316611306,74.4200636443,65.1100802051,56.9100766018,54.2728339278,50.0874221103,48.9024501764,53.48401245,56.5203494107,58.7279187963,59.4094560078,61.7376111439,64.1724927803,65.88408167750001,65.4026101632,78.2556223871,83.4504606177,86.177268508,98.7896373059,97.7047962417,94.3581399708,83.9565240117,88.2706809978,95.22437174949999,95.6526219018,102.604289773,104.4233593947,102.4035022257,100.8442091725,84.108180323,78.72231006,79.6243515746,79.2224094539,74.25380817999999
