"MEASURE - Percentage of Gross Domestic Product"
"FLOW - Sum of imports and exports"
"SERIES - Total trade in goods and services"

YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"          Dominican Republic",39.0057887948,37.1640648912,27.2452166368,26.5082440966,22.9107381593,52.0746064412,45.5090294133,56.0891654484,68.31075145769999,53.2786142689,43.3145846701,41.8031331035,41.1475765242,79.9135341275,79.6395862498,76.468767556,76.822783501,77.14488635550001,80.4265008699,80.5797404053,83.7702427487,75.26790154450001,73.8052022457,88.7312037057,85.90862560870001,64.09403699640001,69.68596213870001,66.79538541079999,65.6570882701,52.6724473017,58.0254735353,60.5509589057,59.2302239078,58.2669216426
"          Ecuador",41.9775791811,37.0132542434,34.2653913819,30.4196286298,32.5833703525,29.3647271107,36.4809259483,41.2627884281,40.7718970983,44.5981171928,45.6836136293,46.8123739008,44.9320345828,45.9488601885,45.4953532857,47.9922004698,44.8492825156,45.6748749861,44.7349856885,50.2607197508,59.1348269445,50.2490771334,48.6923141994,47.2292374841,50.9214927412,56.2099699365,59.7443991976,62.1256945016,67.7230880824,52.1999145869,60.7416506048,64.00439003210001,62.0209935464,61.6445906239
"          Egypt",76.56157224659999,126.5497769343,110.6915772138,95.0752466739,93.3388242079,80.9022216401,65.6961714406,64.31813429340001,65.9546419106,59.4676274982,66.7403466418,61.5868695526,54.9345367533,52.8052507922,49.1013489629,46.2300908736,43.6755060061,43.9267238304,38.6166718775,39.5474223693,41.5525560736,40.852652833,41.5459445187,53.6239894385,67.47477066640001,68.8594460974,71.6834247261,74.2211952599,73.9994807736,52.3738809761,50.6421630928,46.8961092613,46.0995893183,45.3632036117
"          El Salvador",203.2414429359,183.2094074817,158.4936684445,147.6526569405,133.508143097,110.7628888846,84.69301318789999,69.8417478602,62.3910358483,59.4443810599,54.1000020829,47.2968932404,48.7082304734,54.021259729,55.5406277827,59.6071364665,55.6071736707,63.9556248092,62.8762116518,63.2827906007,70.7900062432,67.86001288670001,67.8747502503,70.41564041460001,73.3142150326,70.1257423254,72.21415043739999,74.1770756268,76.5763512142,61.8707696297,68.7685297152,74.64338130429999,69.17111098540001,70.8820465017
"          Equatorial Guinea","-","-","-","-","-","-","-",110.3134333414,121.4098768807,100.400338723,98.5277408422,115.2509073529,93.0036549499,98.7425626782,105.3000322879,174.4437636509,239.9166554421,210.8441113406,245.6182728576,218.2424480579,192.6700014952,268.2431628791,156.516708329,168.5178799082,137.9631848166,129.5060121681,130.439758588,132.0315114333,145.8425424946,172.7351107249,153.2094201484,176.3144270865,189.0252058782,"-"
"          Eritrea","_","_","_","_","_","_","_","_","_","_","_","_","-",98.8968912664,105.3479381348,98.912386789,108.1481871406,107.6069274977,99.48783998659999,86.0523260918,84.58206223000001,92.725484154,99.8455533937,"-","-","-","-","-","-","-","-","-","-","-"
"          Estonia","_","_","_","_","_","_","_","_","_","_","_","_",32.2417756783,57.4909195874,90.7724618769,123.9723486284,134.6283704354,154.2757909689,158.5704024702,144.9576081118,173.2801900477,163.8595876756,148.9434875312,145.3445716231,152.7444963902,166.6255825911,169.5457503123,152.1040297673,153.4170822635,131.9588350317,162.4968153651,191.6495004245,190.9185497686,179.5826004842
"          Ethiopia","_","_","_","_","_","_","_","_","_","_","_","_",17.580922565,20.0613137883,26.6194753115,29.1713404801,26.0721043736,27.8686906034,35.8143321526,38.1313923227,32.5427362755,39.2907451407,40.3195971968,45.6798398972,54.4557773578,56.1032487372,49.8873002794,50.3404083439,51.2743559825,44.260947893,55.3202578292,58.3243506156,48.3711908973,45.7703921608
"          Ethiopia (…1991)",23.8185197564,21.7683541914,22.4426018186,21.6732890126,20.148803769,18.024669717,19.1728056867,17.6194204281,18.7616793362,17.4798479314,16.0190167641,8.953850572,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"          Faeroe Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"          Falkland Islands (Malvinas)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"          Fiji",97.9551790363,99.9064913962,92.7747309082,92.05005114300001,86.2474214316,88.5660266794,82.51761932390001,86.4295540121,106.082908598,114.9929275711,128.1933902309,116.4968735308,106.2480372828,110.4032593887,114.4250868154,111.5904679338,118.9868765463,113.357467637,112.0204104101,106.0102140949,120.3174783486,116.5923623912,109.4153725814,116.0717374241,113.3249967494,116.2179704117,117.2289279247,110.1454945431,124.0632100843,107.1035363313,118.7443090138,124.7553830687,124.6724385029,127.4259640621
"          Finland",64.34403727580001,62.7252795275,58.8956495277,58.1589158021,57.1860340505,56.7155860059,50.9090062967,50.4221244218,49.0215442936,48.7911816765,46.5370083265,44.330935505,51.2168592919,59.2766512429,64.4601046972,64.7781368488,66.9352494069,69.8516608452,68.87862040749999,66.91167015569999,78.198176456,73.755097353,71.84617871810001,70.73545798719999,73.7428053534,79.88356656000001,86.2199439676,86.5181635588,90.2953083893,73.53900540620001,79.9486196113,83.04167673089999,83.00570172170001,80.9283860888
"          France",44.6888160897,47.7940436153,46.2198617124,45.5086621354,48.0167503072,47.8307086129,41.9087920606,41.7956094786,42.7862290769,45.6873914312,44.1890143268,44.3956217486,42.5196033401,40.2621372404,42.866455664,44.2003184508,44.3901698084,48.4396166396,49.5954178875,50.0231641276,55.644527669,54.2074398576,52.2050315211,50.1433924667,51.4733711081,53.046754857,55.2503750786,55.2474009966,56.269314807,52.5374630105,57.3149710271,61.4565910453,61.3814262268,60.5662920261
"          French Polynesia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",65.8464410906,65.6479812449,59.6695475792,63.5231939786,57.6969678333,57.9784301914,58.4983011832,49.8879095462,50.1753494139,49.1277010746,48.7975957447,"-"
"          Gabon",74.1235128233,89.1909672618,89.8530194099,95.31861630500001,89.63695610240001,89.2660292708,72.0640138067,69.40868826649999,72.27448529500001,79.59139298540001,77.8013763533,73.87957573440001,73.4270476661,77.45919511939999,92.88859043780001,87.4870194846,88.9248505281,91.2359753863,88.32524265799999,91.3233167185,93.926605045,86.6351649941,82.99932118949999,79.82951509590001,82.2899610044,84.6869962807,"-","-","-","-","-","-",63.5937531433,"-"
"          Gambia",50.7551745753,38.8847773221,37.9124193604,35.7532742631,38.4936775323,29.2334394189,32.3404922392,54.6577409481,48.2993526754,48.9167674722,52.5661072449,63.3087026893,67.9385515004,67.57474647550001,61.5971494938,51.6091680447,59.8187256427,61.9084548765,"-","-","-","-","-",60.6545610289,73.57897381479999,73.0607174754,78.95881211290001,78.68478643109999,70.7496689796,68.9426707657,61.9325119716,74.2038031732,84.273947585,78.122298504
"          Georgia","_","_","_","_","_","_","_","_","_","_","_","_","-","-","-","-","-",56.6037732742,55.4836310508,58.3494510205,71.3609491135,68.3453660965,72.6909307934,79.0670975287,80.7693455766,85.87319327900001,89.92288135370001,89.44727396720001,87.47095377380001,78.7058788578,87.6265267276,91.7644055981,95.8589880724,100.5621620129
"          Germany","_","_","_","_","_","_","_","_","_","_",52.5753167069,52.1296323413,48.7272178156,44.0121519015,45.6494211624,47.0154803189,48.6664862199,53.5803503836,55.824926769,57.8929777169,66.5296237288,67.7430895856,66.77320294560001,67.7920500046,72.2756296398,77.68049811180001,85.47312271440001,87.6499709014,90.3039879974,80.45295066529999,90.1320583971,96.75240010109999,98.0068880016,95.6989856164
"          Germany, Democratic Republic of","..","..","..","..","..","..","..","..","..","..","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"          Germany, Federal Republic of",49.3341600332,52.5322143149,53.1556974276,51.7707859606,54.7670268943,57.1125512054,50.840397477,49.2316984228,50.0765295219,53.2081154743,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"          Ghana",45.8931074056,37.852971896,28.163848096,20.6568139695,21.5222256207,22.9358442904,25.1885126522,27.6322698846,26.6403125938,25.8621587596,24.9301972141,24.550863367,27.3838228213,35.3483982971,38.7915713331,35.7242749426,36.9206907838,38.6383757395,51.5646475109,51.7370846908,72.5180149009,70.13055377249999,59.6858883123,60.0675419118,61.7292213365,61.2214046688,65.6334263446,64.9042737163,68.8347586907,71.5947913306,72.6131563889,86.3535090251,95.3124418976,85.6474594371
"          Gibraltar","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"          Greece",35.5446810956,41.6279973548,34.8901438929,35.8529269708,37.358383705,38.8806767848,34.1026986147,36.5688696045,34.8131413702,35.3947759011,34.9041084752,34.1701113305,32.5845071222,31.2819670994,31.4194118747,32.9655301802,32.3740713609,36.8726509625,33.5945461249,43.7856320372,56.5932787148,54.6967340011,48.379991267,44.5813554476,48.3484689474,49.4000445081,52.2403370218,54.9147174716,57.7473112478,44.4523471302,47.7815114103,52.8825584769,53.4569572704,55.5027497095
"          Greenland","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"          Grenada",113.7650954727,116.1259436654,111.0402881915,103.6271764368,93.36921812750001,105.2839906831,121.2735889148,112.6863175026,107.8513641301,102.2496012725,100.6393112404,102.5024222052,96.77417010329999,107.2802573915,109.7055705191,105.6699776175,109.1678745081,109.4367651856,118.6797295935,127.4772365086,104.9645118329,91.7179547395,82.30622176830001,83.07624627920001,86.2699088785,78.3799573901,80.8218119365,82.4220654641,77.71711768270001,71.06604752120001,73.0063131252,74.8819735156,75.0851398171,77.80965946470001
"          Guam","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"          Guatemala",52.5461526178,45.2293117544,37.3709858441,30.8114707311,31.4584998108,24.2557498678,29.3919568637,43.2090355918,42.9109786951,43.8148546348,49.5486408665,44.3416436188,51.041556787,49.1366806191,46.9931639978,50.138619981,45.0309238513,46.577221477,49.3598811495,52.0307866985,54.8366166975,53.331752826,52.0844898146,52.1064875613,67.96004186099999,65.6601218767,67.1949806526,68.0850085124,64.6190531653,58.4372524164,62.6715252163,64.2238866786,61.1113763287,58.0094252422
"          Guinea","-","-","-","-","-","-",50.263190177,47.702787682,50.0131745343,55.9653255444,61.0075634268,60.7535819211,48.3679867894,50.3584179891,49.6399842118,43.5104592289,41.5050675772,39.188762609,47.9372593232,47.709104803,50.3174888485,56.2753143387,58.95252233,49.2245171635,48.8600287173,66.80460020939999,77.16317738700001,59.0478072174,61.3024612879,47.3241615704,63.7136144041,74.78411993580001,85.7150617148,"-"
"          Guinea-Bissau","-","-",20.2361948433,18.9313758259,21.2354955394,22.5887419986,"-","-","-",20.631734279,18.7919462206,19.7949794974,19.2428501961,14.3887988106,16.2485629276,15.1319043004,19.5036700575,31.4452226469,25.1498523126,34.3828539881,45.5865387956,40.4157246881,35.1281939806,36.8281817653,40.1889683504,41.3178890879,41.2599973424,54.1332061667,52.7576555544,53.6844550004,55.5864723597,68.074198688,48.0469251688,"-"
"          Guyana",95.67475664769999,95.84816169609999,79.7073311831,70.94798308030001,77.2816200889,78.0780571432,"-","-","-","-","-","-",179.481535027,156.2842384698,143.6247636766,134.9129405659,125.8554977168,125.0908533234,123.5487329001,123.3004105697,124.5490394805,122.4633674493,118.4929172027,114.9570794828,122.9186589327,122.5042419687,122.2134733756,121.3709740034,130.4196018602,118.0071993599,122.9063681774,140.9201586182,148.5819628873,128.5936293294
"          Haiti",56.8463650703,53.5319869968,50.5982905882,48.4762256617,46.5807730387,44.5038319896,34.2125491598,41.9695732081,38.3480466768,30.2304228834,31.8564432201,32.1516048861,23.4676213301,26.2179970091,14.7001706749,42.5900386445,35.7599348131,42.7474538672,43.9800483566,47.5999982975,55.7617747035,54.7538568937,56.7331946873,72.8453829675,61.8372572664,64.4511611909,63.2376018039,57.8285078797,62.9141976478,62.9817249549,80.4300392498,76.82577201140001,76.8465087947,77.9833811136
"          Holy See","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"          Honduras",67.6073302305,57.8482363225,45.9576670998,46.7361102236,48.3719481654,45.9800945549,45.9954410304,40.8564471664,39.2657721829,36.4542326377,59.3655816373,58.8640262503,55.760730388,65.063232605,73.41053760360001,73.80933987909999,85.7714501145,83.5904546414,83.5021656525,81.0127232323,118.7079960151,114.8715354379,119.5974420965,119.9013640929,133.6329449474,135.5036924184,131.5357375666,133.6497713826,135.2046615105,96.7155872673,109.3219867096,121.8064473025,119.7267475727,115.3417792227
"          Hungary","-","-",72.07012021289999,78.4537211709,80.7051237415,77.5752244845,75.7405804263,73.4807572604,68.6845545968,71.57820243640001,63.1561453193,69.00198486239999,69.063066785,65.299777639,59.2418067246,81.0092931789,88.32451642620001,108.5108359524,112.398702749,132.3213979773,154.4097967274,144.6076733112,127.6911578119,128.4737960662,132.3831885881,136.3607812163,155.7883647691,161.0465827658,162.3332186688,149.8861880707,163.8359556191,176.1763415502,181.6100443101,184.2443297677
"          Iceland",70.91233924079999,69.93663734259999,68.7597974255,76.5804424152,76.4634379833,81.14366755970001,74.38197115680001,70.9032226332,65.3571823658,65.8580607462,66.1179186561,63.6096270367,60.7179856439,62.1713247991,64.25410657410001,67.4595067094,72.0811189129,72.09768945250001,74.0200432245,71.999692873,74.65960528550001,79.19993270099999,73.44358919459999,71.5982538722,73.5865919722,75.40790166719999,81.4561692475,79.1071883396,94.1318952031,97.0814992521,102.8375093413,108.8950153896,111.5859091678,106.4295457907
"          India",15.2642737665,14.5283271181,14.7478369359,13.9521041072,14.3844533934,14.0569152175,13.3435548985,13.6709951389,14.0619395184,16.098594469,16.0460305522,17.2783725837,18.7749648705,20.32776081,21.341530313,23.3556125064,24.6514307024,24.3710907648,24.7216579383,25.1917751036,28.4331619792,27.6294553755,28.9854123253,30.059931502,34.5791131759,40.2008567192,44.1777482254,43.1245103421,52.9951717318,44.0205991813,46.1694207452,51.9715520135,54.5556869637,53.2076214349
"          Indonesia","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",53.8175115593,60.0705824374,66.96516761149999,57.6869743939,55.5484040799,58.7555420141,45.3622557673,46.229461692,49.5087305011,48.4031638805,48.0450126203
"          Indonesia (…2002)","-",44.8481839186,41.4018539534,44.0023269905,42.1880967623,38.7777891787,35.7354248275,42.2455563142,40.3021245955,41.8034778549,45.1844659419,45.3453224681,47.1459160278,45.3842592039,45.6686718547,48.3534172757,46.5014796247,53.1839079082,94.2919429865,64.07980148279999,76.52210669900001,70.4777806677,60.4321755435,"_","_","_","_","_","_","_","_","_","_","_"
"          Iran (Islamic Republic of)",31.7346256423,28.8091547545,29.6311099256,29.2440063555,22.3549346251,40.0673062705,27.7570896805,30.0865643641,25.9610524793,32.9670139789,46.1718455777,52.3841292764,49.805512105,40.3333360646,32.7039555969,30.8838150338,35.9404745524,34.4815635623,30.3830788069,34.8043814523,46.5994049497,43.8833833647,45.9442231348,56.1653446274,56.9395030444,60.1911743588,58.9838504924,57.0873027806,54.2510631317,50.0730743107,51.2174197698,47.0977573178,33.4955010729,"-"
"          Iraq","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",138.2744108116,100.9812121147,82.6880978348,96.2207923926,75.1281431844,83.4026634924,99.2090853861,107.4420794341,"-"
"          Ireland",100.8605889246,99.43767620289999,91.9255468872,95.50444691440001,106.5595584029,106.5962026201,95.77475583410001,99.62253353520001,106.1683180808,114.3589011983,106.5265029303,107.2500244313,109.7329192662,116.4469327819,126.4237898284,137.1595956175,139.2058378062,141.8516019088,147.1734505639,158.4198658688,172.6507326851,179.9104863684,166.9326424812,148.8825963558,149.7860342342,149.1083322592,147.7555400559,150.4773429118,156.3547541409,163.2496933861,180.0951200184,183.252832134,190.7555538353,190.7071585994
"          Israel",84.9421727158,83.5688916637,72.704208573,66.07460300140001,72.9704532981,79.65593737970001,69.80898542040001,72.9694676121,63.9687441734,66.9022949602,64.87347079680001,59.478678182,59.1233859555,65.0385283999,65.2837679069,65.2739309828,63.8893150476,63.5912695379,62.5970403363,71.0093294319,75.22407158839999,68.7989725808,72.7894544669,74.30405255220001,82.83959038720001,85.86912022760001,85.6487731581,86.78177929100001,82.3006396838,68.2597060001,72.73225345180001,75.81636398409999,77.12096648959999,68.03265573340001
"          Italy",45.1410334006,47.3041284538,45.4379285762,41.9998841538,44.3221209148,44.7633079861,37.7975326548,37.265728022,36.7740062577,38.7480302315,38.5312226708,36.0468088335,37.2007639532,40.0221140594,42.7891390448,48.3155263402,46.4421433273,48.6620058936,47.7561438438,46.7399517401,52.8117148554,52.4440709221,50.0233127857,48.1778184906,49.5828131946,51.6988733463,55.8904440297,57.8170775297,57.6311332881,47.8963159203,55.0235578709,58.9045979304,59.2901892597,58.4919358935
"          Jamaica",91.00319935,91.8098586924,77.45125818779999,66.9306269873,100.9581296098,113.3793123878,89.90691556110001,89.875161902,87.1469111399,91.90365472000001,95.5480980934,104.8111295067,107.1997551349,95.4190746013,112.5590070596,108.8423062669,97.55111085910001,88.71138642050001,84.8909852948,84.7705209831,89.0087533495,86.3310162114,82.2960014823,89.475028172,90.0676009635,88.6313670512,99.6038435708,105.9328258781,112.7329947268,85.7283502673,79.04381900040001,83.92549619330001,83.5436333369,84.4620665548
"          Japan",27.9625920375,28.2571533481,28.0980033555,25.8721194406,27.0707321134,25.1731549368,18.5810628356,17.6128047906,17.5934468429,19.1937646766,20.0083410176,18.4268283472,17.713093765,16.204612437,16.3258212091,17.1271195251,19.4450165054,21.0334676097,20.3990550602,19.3294742908,20.897199641,20.8929937054,21.8294566972,22.75189081,25.3121699144,28.1573138747,32.2109308886,35.0916166335,36.6171991231,26.2319368549,30.2834572217,32.3130940981,32.4711429126,36.3691015655
"          Jordan",119.8223625957,142.4125307656,134.4030883322,116.9026039836,117.046700639,110.7501329427,82.48880378609999,90.7699443625,102.2722354443,128.2436982653,151.222187384,140.827454947,131.4425739454,130.4407644585,118.3792761555,124.5091952314,131.0407498865,120.8690030716,111.4102775451,104.5878898736,110.3316391239,109.2846847956,114.0412179153,115.7060278581,134.6254090205,146.9128555039,141.746691163,145.9934630127,144.0124058096,114.9791141255,116.8188337893,119.44324671,118.1345163097,113.4450159824
"          Kazakhstan","_","_","_","_","_","_","_","_","_","_","_","_","-","-","-","-","-","-","-","-",104.6595189883,92.93657293459999,93.136833706,90.83424293420001,95.4298187611,97.1935693714,91.13075022050001,91.6258713867,93.5848414285,74.8080999301,73.48928455310001,74.9030315239,75.65595511079999,68.25268803740001
"          Kenya",52.9597458121,47.4205795825,41.7332440322,39.2191448686,41.8077816623,40.2874445062,39.8861972394,37.1355550063,38.1503861133,41.6177299605,44.6998452954,43.5453527774,42.0409955033,120.2838223479,108.930273614,80.73887907540001,77.88199011880001,86.6179399262,91.3556553689,99.1821776836,51.8738674116,54.3765317731,53.8593403934,52.7964866116,59.4728689647,64.4693814911,62.7298760812,62.8633570927,68.4331359112,61.0675509698,69.96114383760001,76.478015337,71.12389883269999,64.4584240499
"          Kiribati",112.1299898832,122.9501497198,107.0846149746,95.8780088355,103.7362812669,117.7406577139,112.7537332751,112.5324008911,111.4239178161,122.8686009982,143.558402003,126.9186590289,158.146910507,143.1576410795,124.448712543,118.3813116543,103.7611148169,108.9402863199,97.0592687259,110.6799687509,105.7099232769,104.5126113163,110.7981946368,105.627357211,102.6894894857,131.8349560798,102.0598081132,108.9865039994,108.2082144457,100.535318243,93.0265914525,"-","-","-"
"          Korea, Dem. People's Rep. of","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"          Korea, Republic of",73.22051642229999,76.0336171661,70.7018169119,67.4537669713,67.8609670555,61.7676018207,64.7564044051,68.8825356998,64.4863712774,57.984039482,55.7247585819,54.320378891,53.4378722151,51.7593373182,52.6572563306,57.2558430428,57.3807680344,63.3475431446,77.0863283564,68.4845275939,75.4725843313,69.89610287399999,66.10738467109999,70.0722013672,79.7344890291,77.6845609408,80.75158976349999,85.7730948864,112.8549422624,99.79069360520001,105.0358118599,113.7969138959,113.8383468231,106.5369859015
"          Kuwait",110.4189864037,107.1601864702,106.8553965872,109.4853726981,107.361718318,99.39554522349999,97.15552076189999,81.662146937,92.17042279819999,95.7020894739,83.57734583520001,111.082735702,100.0000019366,94.14631801189999,93.9202502462,98.6858850811,93.5453139082,95.2753882746,94.9842043723,85.1975319837,86.62659410800001,86.8533944735,81.20963780699999,86.5473541793,88.6137965917,91.3952574069,90.3671782222,92.4676300086,93.3764000386,92.73086696679999,92.97514097769999,96.2389008027,94.8688811597,91.01236441650001
"          Kyrgyzstan","_","_","_","_","_","_","_","_","_","_","_","_","-","-","-","-","-",84.4794815513,93.2261859536,98.6873086082,89.58273636289999,74.44595221820001,84.5980361555,84.8922580503,93.545432343,95.19577482059999,124.7935508852,137.8204270046,146.2428409315,132.8865347946,133.7329604879,136.8984901953,149.0207987849,149.9839107301
"          Lao People's Dem. Rep.","-","-","-","-",50.4315128605,52.0482251019,46.6502300086,53.0526215866,38.1910736279,39.0997339405,36.3069556683,36.942131586,43.9610234486,63.0521856406,71.72156605390001,67.68436918259999,66.47756559,67.69021361679999,88.2150834087,74.97597029390001,65.1104025472,60.8882810921,54.1707148458,47.3348745511,54.1324157073,61.7735190543,62.2087147909,54.8018111368,56.8498825886,54.5504383159,67.9300646543,63.9803009594,68.61860570979999,"-"
"          Latvia","_","_","_","_","_","_","_","_","_","_","_","_",37.9865975559,59.4967012155,67.1474474935,86.0071228882,99.6418503387,99.2615220549,102.1622722268,89.09212861340001,91.1939512626,93.38854927910001,91.917697046,96.4394527693,103.1389454444,109.8284247959,110.5520486125,103.5585966023,97.8263368051,87.456984151,106.9724453315,120.677361826,125.5366113773,120.032142467
"          Lebanon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",82.558564288,125.9973257177,137.4538211162,140.1784704142,146.5739139272,154.5085334489,174.696397808,148.7747377716,140.6894031895,145.7484222654,144.6588742751,"-"
"          Lesotho",160.9941519075,163.61510759,170.2989932711,166.4709224661,175.1789749784,161.6864989431,149.0282421993,158.8112718839,168.5033419451,168.9452718748,156.8277637696,163.5190626824,161.8237283713,153.771836399,139.8066181134,144.9347566335,157.3903149339,159.9279897682,145.382109103,130.4311879378,170.2224233072,191.431093181,211.1489853682,200.948667324,186.8051745118,170.1886952758,172.9195364016,172.6885984156,173.5516184764,162.4710222552,151.5986303449,152.8409451353,153.5456590813,136.3246736011
"          Liberia",152.1441379846,116.2642648132,108.720420917,104.0296701535,100.9039730065,91.829044576,92.8656357064,89.4192493521,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",261.0747628083,247.9058943491,314.5039190537,280.2204136581,315.0892488314,210.7638597279,204.6369953611,397.5304187149,294.7825525809,231.7062426071
"          Libya",91.0141625114,96.3452940546,82.52450437490001,74.865045029,75.5629834746,60.0419047482,46.7250600002,55.9302546747,51.5663911527,56.8442091483,65.71110753310001,62.5829019609,52.2442459616,55.2017256478,49.4572173297,46.898040023,46.5827596221,44.8261698108,36.8968613012,37.5318275392,44.7979622517,48.9616855862,87.6388779888,84.30045262349999,85.7363874883,94.3995645329,97.5820403108,107.6226129987,92.48240511029999,93.70530204630001,98.8746078659,85.4617850847,97.87310684889999,"-"
"          Lithuania","_","_","_","_","_","_","_","_","_","_","_","_","-",66.6872282651,77.12739673119999,105.2408249941,109.2007609085,113.2970774968,101.6368248125,87.4324132104,95.5297400903,104.3877802134,110.2387596062,107.4418349563,110.4864389213,121.593310999,127.6091076109,120.7383625055,130.9096767875,109.948181872,137.1441050578,156.9482444095,166.8318447912,172.6583739341
"          Luxembourg","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",238.7479976691,225.5510239528,250.5667802293,261.1351360266,276.7405957327,280.5765505402,285.2586995624,255.9970021784,267.4252932774,275.9924960004,281.7097756228,278.2733937541
"          Madagascar",48.7300592467,38.8580557193,36.098766474,31.9245016234,30.817809589,29.8424195908,28.6767874092,37.5783741227,39.7815110378,40.1465873343,41.5379657006,43.4813557509,41.1130399743,39.7010333236,51.391820714,54.9389396275,45.1813235068,52.6806780972,52.357816223,56.6666904628,69.8187550804,60.5966850205,68.8212460906,53.0758222125,79.7407034076,66.9656524976,71.6735286375,77.94280282699999,76.9483394784,69.2420842107,61.6565328018,63.8635790506,68.9051009797,"-"
"          Malawi",37.9002066737,33.54560555,30.3389662359,29.7928292253,31.5834893691,30.9347474561,27.6204022472,29.9888028974,33.5802366441,26.2595231562,33.2261918988,37.3007464008,38.1728837699,27.8297099927,48.7064382474,48.4486307246,47.6149287127,51.1335226873,40.695501921,41.5641417333,35.9099636822,38.1390245282,38.4472016075,51.0873963916,50.1621074804,56.3050705751,54.6302687975,53.5467333818,57.6338796224,56.8969295045,54.66955523,60.8755679083,69.4451739993,"-"
"          Malaysia",104.406231659,103.010180235,102.6223432338,101.3262187094,98.9766693217,97.2708745899,98.95842212620001,104.9615455716,115.0228962574,126.1220131123,135.4553659747,146.8766955313,138.9793374302,145.7869579511,166.0062624194,177.3553341661,167.7950780539,171.4861314099,193.5165525311,201.3773226099,211.8384715845,195.4580647122,190.571152667,187.8569323308,202.1956616962,203.4302316816,202.6663098083,192.6346529557,177.1124221648,163.7998484741,169.9884847315,166.772417782,159.058934003,155.4023631119
"          Maldives",164.9158762228,172.1488730688,137.2389390123,133.6375337226,120.3206785988,106.96250226,99.5551757528,112.7449843171,111.7333045023,118.3346447131,121.540298385,116.3881236996,118.41629658,107.4268343233,115.1657044671,112.2232810258,113.9448389878,112.2398815609,110.1267689074,108.0538491052,103.4046641924,104.6108083454,105.0171455187,106.2372454734,118.0250179727,124.043993067,123.9096559119,118.7205103534,123.4035578976,147.1656546011,158.4914434083,194.0988418185,180.7905534626,191.6664330977
"          Mali",51.6065814518,45.6207234096,47.6709481601,57.1237722274,62.5457980217,71.29566582219999,54.418087086,50.0749347373,49.1263829132,47.1635973082,49.7805065306,52.7610507403,50.172233915,45.7260347801,62.5316641887,58.0857924898,52.4944749209,57.0373972948,53.1172419913,56.4390221576,59.1664556449,67.35346779779999,67.2302372787,62.1259293316,57.0477346548,58.4846429361,65.5540447592,63.7542954064,72.2003202164,55.1041832457,65.75531381259999,62.4711009095,71.10588195859999,"-"
"          Malta",167.120291825,151.3612425365,134.5811836398,129.8779209086,134.81468589,139.310258984,133.7376272565,144.1691027908,147.8743646811,151.4747566081,161.781069932,162.3506573028,167.6710755369,176.1014580956,179.2218210498,174.682418875,162.613133793,155.8716833504,158.8529154645,166.4952661899,186.4472570406,160.0387108213,158.8760000911,153.544738412,155.572649537,155.2983205757,174.6901982305,177.517323378,185.1658477379,165.8207678894,185.4796959006,192.6926510087,201.3669076379,185.3835665739
"          Marshall Islands","_","_","..","..","..","..","..","..","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
